2020-04-23/18:53:17		User Says: adiyadav.1729@gmail.com
2020-04-23/18:53:29		Bot Says: We have sent the course syllabus and other relevant details to you via email. An email has been sent to the Support Team with your contact information, you'll be contacted soon. Do you have further queries?
2020-04-23/19:03:03		User Says: adiyadav.1729@gmail.com
2020-04-23/19:03:10		Bot Says: We have sent the course syllabus and other relevant details to you via email. An email has been sent to the Support Team with your contact information, you'll be contacted soon. Do you have further queries?
2020-04-23/19:29:35		User Says: adiyadav.1729@gmail.com
2020-04-23/19:29:46		Bot Says: We have sent the course syllabus and other relevant details to you via email. An email has been sent to the Support Team with your contact information, you'll be contacted soon. Do you have further queries?
2020-04-23/19:30:57		User Says: adiyadav.1729@gmail.com
2020-04-23/19:31:08		Bot Says: We have sent the course syllabus and other relevant details to you via email. An email has been sent to the Support Team with your contact information, you'll be contacted soon. Do you have further queries?
2020-04-23/20:01:39		User Says: adiyadav.1729@gmail.com
2020-04-23/20:01:50		Bot Says: We have sent the course syllabus and other relevant details to you via email. An email has been sent to the Support Team with your contact information, you'll be contacted soon. Do you have further queries?
2020-04-23/20:09:09		User Says: adiyadav.1729@gmail.com
2020-04-23/20:09:14		Bot Says: We have sent the course syllabus and other relevant details to you via email. An email has been sent to the Support Team with your contact information, you'll be contacted soon. Do you have further queries?
2020-04-23/20:09:54		User Says: adiyadav.1729@gmail.com
2020-04-23/20:09:59		Bot Says: We have sent the course syllabus and other relevant details to you via email. An email has been sent to the Support Team with your contact information, you'll be contacted soon. Do you have further queries?
2020-04-23/20:27:00		User Says: adiyadav.1729@gmail.com
2020-04-23/20:27:09		Bot Says: We have sent the course syllabus and other relevant details to you via email. An email has been sent to the Support Team with your contact information, you'll be contacted soon. Do you have further queries?
2020-04-23/22:36:06		User Says: adiyadav.1729@gmail.com
2020-04-23/22:36:14		Bot Says: We have sent the Precautionary Measures and India's covid details to you via email. Stay safe and take care.
2020-04-23/22:40:16		User Says: adiyadav.1729@gmail.com
2020-04-23/22:40:23		Bot Says: We have sent the Precautionary Measures and India's covid details to you via email. Stay safe and take care.
